2026-09-17 23:01:52 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:04:37 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:04:37 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:04:37 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:04:37 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:04:37 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:04:37 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 详情页缺少片名，跳过该条
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
2026-09-17 23:07:29 | WARNING | douban.spider | 未配置 Cookie（DOUBAN_COOKIE），将以匿名身份访问，可能被限流
